,0
0,2
1,5
2,6
3,8
4,10
5,11
6,12
7,14
8,18
9,19
10,20
11,21
12,23
13,24
14,27
15,32
16,38
17,44
18,45
19,46
20,48
21,50
22,51
23,54
24,56
25,58
26,63
27,64
28,67
29,68
30,70
31,72
32,74
33,77
34,81
35,82
36,85
37,86
38,89
39,93
40,94
41,98
42,99
43,104
44,107
45,111
46,112
47,119
48,120
49,121
50,122
51,124
52,125
53,129
54,130
55,131
56,134
57,135
58,136
59,137
60,138
61,142
62,144
63,147
64,153
65,155
66,157
67,158
68,163
69,164
70,165
71,167
72,168
73,172
74,174
75,176
76,177
77,180
78,184
79,186
80,187
81,190
82,193
83,194
84,195
85,196
86,199
87,201
88,205
89,210
90,213
91,214
92,215
93,216
94,219
95,225
96,226
97,229
98,231
99,232
100,234
101,240
102,248
103,251
104,255
105,264
106,267
107,268
108,273
109,274
110,277
111,278
112,279
113,282
114,283
115,285
116,286
117,288
118,289
119,293
120,295
121,300
122,303
123,307
124,309
125,311
126,316
127,318
128,320
129,326
130,329
131,331
132,332
133,333
134,334
135,336
136,343
137,344
138,345
139,347
140,348
141,350
142,351
143,354
144,357
145,360
146,362
147,367
148,369
149,372
150,374
151,376
152,377
153,379
154,380
155,381
156,389
157,391
158,395
159,397
160,398
161,404
162,408
163,409
164,411
165,412
166,416
167,418
168,419
169,420
170,421
171,422
172,426
173,427
174,429
175,432
176,435
177,438
178,439
179,440
180,442
181,446
182,447
183,448
184,450
185,453
186,455
187,456
188,457
189,458
190,460
191,461
192,463
193,466
194,469
195,471
196,473
197,474
198,476
199,477
200,478
201,480
202,482
203,484
204,489
205,491
206,494
207,495
208,496
209,498
210,499
211,500
212,501
213,504
214,507
215,509
216,516
217,519
218,520
219,525
220,527
221,528
222,529
223,530
224,531
225,534
226,540
227,543
228,544
229,545
230,546
231,547
232,548
233,549
234,551
235,557
236,558
237,560
238,562
239,567
240,570
241,571
242,572
243,577
244,578
245,579
246,582
247,583
248,585
249,590
250,592
251,595
252,597
253,598
254,600
255,602
256,606
257,608
258,609
259,610
260,611
261,614
262,616
263,618
264,620
265,627
266,628
267,630
268,632
269,634
270,636
271,640
272,641
273,642
274,644
275,646
276,647
277,649
278,650
279,651
280,652
281,654
282,656
283,657
284,658
285,660
286,661
287,662
288,675
289,676
290,677
291,678
292,679
293,682
294,683
295,684
296,685
297,689
298,691
299,692
300,693
301,697
302,699
303,700
304,702
