,0
0,2
1,6
2,8
3,10
4,11
5,12
6,14
7,18
8,19
9,20
10,21
11,23
12,24
13,27
14,32
15,38
16,44
17,45
18,46
19,48
20,50
21,51
22,54
23,56
24,58
25,63
26,68
27,70
28,72
29,74
30,77
31,81
32,82
33,85
34,86
35,89
36,93
37,98
38,104
39,107
40,111
41,119
42,120
43,121
44,129
45,130
46,131
47,135
48,136
49,137
50,138
51,142
52,144
53,147
54,157
55,158
56,163
57,165
58,167
59,174
60,176
61,177
62,184
63,186
64,187
65,190
66,193
67,194
68,195
69,196
70,199
71,201
72,205
73,210
74,213
75,214
76,216
77,219
78,225
79,226
80,229
81,231
82,232
83,234
84,240
85,248
86,251
87,255
88,264
89,267
90,268
91,273
92,274
93,277
94,279
95,282
96,283
97,285
98,286
99,288
100,289
101,293
102,295
103,300
104,303
105,307
106,311
107,316
108,318
109,320
110,326
111,329
112,331
113,332
114,333
115,336
116,343
117,344
118,345
119,347
120,348
121,350
122,351
123,354
124,362
125,367
126,369
127,372
128,374
129,376
130,377
131,379
132,380
133,381
134,389
135,391
136,395
137,397
138,398
139,404
140,408
141,409
142,411
143,412
144,416
145,418
146,421
147,422
148,426
149,427
150,429
151,432
152,438
153,439
154,440
155,442
156,446
157,447
158,448
159,450
160,453
161,455
162,456
163,457
164,458
165,460
166,461
167,463
168,466
169,469
170,471
171,474
172,476
173,477
174,480
175,482
176,484
177,491
178,494
179,495
180,496
181,498
182,499
183,500
184,501
185,504
186,507
187,519
188,520
189,525
190,529
191,530
192,531
193,540
194,543
195,544
196,545
197,546
198,547
199,548
200,549
201,551
202,557
203,558
204,560
205,562
206,571
207,572
208,577
209,578
210,579
211,582
212,583
213,585
214,590
215,592
216,595
217,597
218,598
219,602
220,606
221,608
222,609
223,611
224,614
225,616
226,627
227,628
228,630
229,634
230,636
231,640
232,641
233,644
234,647
235,650
236,651
237,652
238,654
239,658
240,660
241,661
242,662
243,675
244,676
245,677
246,678
247,679
248,682
249,683
250,684
251,685
252,689
253,691
254,692
255,693
256,697
257,699
258,700
259,702
260,707
261,708
262,709
263,711
264,713
265,716
266,718
267,722
268,727
269,729
270,731
271,734
272,735
273,736
274,742
275,746
276,749
277,750
278,751
279,755
280,756
281,759
282,762
283,763
284,767
285,768
286,771
287,772
288,773
289,775
290,780
291,783
292,785
293,786
294,790
295,791
296,796
297,798
298,808
299,809
300,811
301,813
302,816
303,817
304,819
305,824
306,826
307,827
308,828
309,830
310,846
311,848
312,850
313,853
314,858
315,859
316,864
317,865
318,869
319,872
320,873
321,877
322,880
323,881
324,882
325,885
326,886
327,887
328,889
329,891
330,896
331,897
332,900
333,901
334,905
335,906
336,908
337,909
338,914
339,918
340,923
341,924
342,926
343,928
344,929
345,930
346,932
347,935
348,937
349,938
350,941
351,944
352,945
353,948
354,949
355,952
356,957
357,958
358,964
359,966
360,967
361,970
362,973
363,975
364,979
365,980
366,982
367,983
368,984
369,988
370,993
371,995
372,996
373,997
374,999
375,1002
376,1004
377,1005
378,1007
379,1013
380,1019
381,1020
382,1021
383,1022
384,1025
385,1026
386,1027
387,1029
388,1031
389,1035
390,1041
391,1042
392,1046
393,1047
394,1049
395,1050
396,1052
397,1058
398,1064
399,1066
400,1067
401,1068
402,1069
403,1071
404,1073
405,1074
406,1078
407,1085
408,1091
409,1094
410,1096
411,1107
412,1108
413,1110
414,1111
415,1118
416,1120
417,1122
418,1123
419,1130
420,1131
421,1134
422,1138
423,1139
424,1145
425,1146
426,1149
427,1151
428,1152
429,1154
430,1160
431,1161
432,1163
433,1164
434,1167
435,1168
436,1174
437,1180
438,1181
439,1183
440,1185
441,1197
442,1198
443,1199
444,1201
445,1202
446,1203
447,1204
448,1210
449,1211
450,1212
451,1213
452,1214
453,1219
454,1222
455,1223
456,1227
457,1233
458,1236
459,1239
460,1240
461,1241
462,1245
463,1246
464,1247
465,1255
466,1262
467,1266
468,1270
469,1274
470,1281
471,1283
472,1285
473,1287
474,1290
475,1297
476,1298
477,1301
478,1302
479,1303
480,1304
481,1305
482,1306
483,1314
484,1316
485,1320
486,1322
487,1325
488,1329
489,1331
490,1333
491,1334
492,1341
493,1342
494,1343
495,1347
496,1348
497,1353
498,1354
499,1356
500,1362
501,1363
502,1366
503,1367
504,1370
505,1371
506,1373
507,1374
508,1376
509,1377
510,1382
511,1383
512,1387
513,1390
514,1392
515,1393
516,1394
517,1397
518,1401
519,1402
520,1405
521,1406
522,1407
523,1409
524,1411
525,1412
526,1414
527,1417
528,1418
529,1421
530,1422
531,1425
532,1428
533,1429
534,1437
535,1438
536,1442
537,1444
538,1445
539,1446
540,1450
541,1454
542,1456
543,1457
544,1460
545,1462
546,1463
547,1466
548,1467
549,1474
550,1479
551,1480
552,1481
553,1485
554,1489
555,1490
556,1491
557,1494
558,1495
559,1496
560,1498
561,1502
562,1503
563,1504
564,1508
565,1512
566,1514
567,1515
568,1519
569,1527
570,1531
571,1533
572,1534
573,1538
574,1546
575,1550
576,1551
577,1555
578,1557
579,1559
580,1560
581,1561
582,1562
583,1569
584,1571
585,1578
586,1579
587,1593
588,1594
589,1595
590,1598
591,1599
592,1604
593,1605
594,1610
595,1615
596,1616
597,1622
598,1624
599,1626
600,1629
601,1632
602,1633
603,1635
604,1637
605,1638
606,1639
607,1640
608,1643
609,1648
610,1649
611,1653
612,1654
613,1657
614,1658
615,1659
616,1661
617,1663
618,1665
619,1674
620,1675
621,1685
622,1686
623,1687
624,1690
625,1691
626,1693
627,1698
628,1699
629,1700
630,1701
631,1706
632,1707
633,1708
634,1709
635,1715
636,1716
637,1717
638,1725
639,1726
640,1727
641,1728
642,1732
643,1734
644,1759
645,1761
646,1764
647,1765
648,1768
649,1769
650,1774
651,1776
652,1779
653,1783
654,1784
655,1786
656,1787
657,1791
658,1795
659,1798
660,1799
661,1801
662,1804
663,1805
664,1806
665,1808
666,1810
667,1812
668,1819
669,1824
670,1826
671,1828
672,1830
673,1832
674,1840
675,1841
676,1845
677,1848
678,1851
679,1852
680,1853
681,1854
682,1856
683,1858
684,1861
685,1862
686,1863
687,1864
688,1866
689,1868
690,1870
691,1871
692,1872
693,1876
694,1878
695,1879
696,1880
697,1885
698,1893
699,1901
700,1903
701,1904
702,1905
703,1906
704,1907
705,1908
706,1911
707,1912
708,1918
709,1922
710,1929
711,1937
712,1938
713,1939
714,1941
715,1942
716,1943
717,1947
718,1949
719,1950
720,1951
721,1952
722,1955
723,1958
724,1959
725,1961
726,1962
727,1968
728,1970
729,1971
730,1973
731,1980
732,1981
733,1982
734,1985
735,1986
736,1988
737,1992
738,1994
739,1998
740,2000
741,2001
742,2005
743,2010
744,2011
745,2012
746,2016
747,2020
748,2023
749,2025
750,2028
751,2029
752,2030
753,2033
754,2035
755,2036
756,2038
757,2040
758,2043
759,2044
760,2045
761,2047
762,2049
763,2050
764,2051
765,2052
766,2063
767,2071
768,2072
769,2073
770,2074
771,2076
772,2077
773,2078
774,2083
775,2084
776,2085
777,2093
778,2095
779,2096
780,2097
781,2099
782,2100
783,2101
784,2107
785,2108
786,2109
787,2118
788,2120
789,2122
790,2124
791,2125
792,2126
793,2129
794,2131
795,2140
796,2143
797,2145
798,2147
799,2153
800,2155
801,2161
802,2165
803,2166
804,2172
805,2173
806,2174
807,2176
808,2178
809,2182
810,2183
811,2187
812,2189
813,2194
814,2197
815,2205
816,2216
817,2218
818,2221
819,2222
820,2224
821,2226
822,2228
823,2229
824,2235
825,2239
826,2241
827,2244
828,2252
829,2254
830,2256
831,2257
832,2258
833,2259
834,2260
835,2264
836,2266
837,2269
838,2277
839,2278
840,2280
841,2281
842,2289
843,2291
844,2292
845,2295
846,2296
847,2297
848,2298
849,2299
850,2301
851,2302
852,2308
853,2310
854,2311
855,2320
856,2322
857,2335
858,2336
859,2338
860,2342
861,2345
862,2346
863,2352
864,2356
865,2358
866,2361
867,2362
868,2366
869,2368
870,2369
871,2371
872,2373
873,2374
874,2375
875,2383
876,2389
877,2390
878,2391
879,2398
880,2399
881,2400
882,2401
883,2402
884,2405
885,2406
886,2414
887,2419
888,2421
889,2422
890,2427
891,2428
892,2429
893,2431
894,2439
895,2440
896,2442
897,2447
898,2448
899,2452
900,2454
901,2456
902,2460
903,2464
904,2467
905,2468
906,2469
907,2471
908,2473
909,2478
910,2479
911,2480
912,2481
913,2485
914,2487
915,2493
916,2494
917,2495
918,2499
919,2504
920,2506
921,2510
922,2511
923,2513
924,2516
925,2517
926,2518
927,2521
928,2523
929,2526
930,2527
931,2529
932,2531
933,2534
934,2538
935,2539
936,2540
937,2542
938,2547
939,2550
940,2551
941,2552
942,2554
943,2556
944,2558
945,2560
946,2565
947,2570
948,2572
949,2573
950,2577
951,2582
952,2583
953,2587
954,2588
955,2590
956,2591
957,2592
958,2593
959,2595
960,2596
961,2597
962,2598
963,2602
964,2603
965,2605
966,2607
967,2610
968,2611
969,2616
970,2619
971,2620
972,2621
973,2622
974,2625
975,2631
976,2632
977,2635
978,2638
979,2639
980,2640
981,2646
982,2648
983,2652
984,2654
985,2655
986,2657
987,2660
988,2662
989,2667
990,2668
991,2669
992,2673
993,2674
994,2679
995,2683
996,2687
997,2689
998,2694
999,2697
1000,2701
1001,2706
1002,2708
1003,2717
1004,2727
1005,2728
1006,2731
1007,2745
1008,2750
1009,2753
1010,2754
1011,2759
1012,2764
1013,2767
1014,2769
1015,2770
1016,2775
1017,2777
1018,2778
1019,2781
1020,2783
1021,2786
1022,2788
1023,2793
1024,2795
1025,2797
1026,2799
1027,2803
1028,2815
1029,2818
1030,2826
1031,2833
1032,2841
1033,2843
1034,2845
1035,2850
1036,2855
1037,2856
1038,2863
1039,2864
1040,2870
1041,2871
1042,2872
1043,2873
1044,2875
1045,2879
1046,2880
1047,2884
1048,2886
1049,2890
1050,2898
1051,2900
1052,2901
1053,2904
1054,2906
1055,2908
1056,2913
1057,2916
1058,2917
1059,2924
1060,2940
1061,2945
1062,2948
1063,2954
1064,2955
1065,2957
1066,2959
1067,2962
1068,2963
1069,2965
1070,2966
1071,2973
1072,2974
1073,2976
1074,2977
1075,2978
1076,2983
1077,2987
1078,2990
1079,2993
1080,2998
1081,3000
1082,3004
1083,3005
1084,3007
1085,3008
1086,3009
1087,3012
1088,3017
1089,3018
1090,3019
1091,3026
1092,3032
1093,3035
1094,3036
1095,3038
1096,3039
1097,3040
1098,3052
1099,3060
1100,3061
1101,3063
1102,3064
1103,3066
1104,3067
1105,3068
1106,3073
1107,3076
1108,3083
1109,3087
1110,3088
1111,3097
1112,3101
1113,3109
1114,3111
1115,3112
1116,3114
1117,3119
1118,3123
1119,3124
1120,3131
1121,3132
1122,3133
1123,3136
1124,3137
1125,3138
1126,3150
1127,3152
1128,3155
1129,3156
1130,3157
1131,3158
1132,3160
1133,3163
1134,3164
1135,3169
1136,3173
1137,3174
1138,3175
1139,3179
1140,3187
1141,3190
1142,3191
1143,3194
1144,3204
1145,3211
1146,3214
1147,3217
1148,3225
1149,3232
1150,3233
1151,3236
1152,3239
1153,3243
1154,3244
1155,3245
1156,3246
1157,3249
1158,3250
1159,3256
1160,3259
1161,3260
1162,3262
1163,3264
1164,3268
1165,3269
1166,3270
1167,3271
1168,3274
1169,3277
1170,3278
1171,3281
1172,3282
1173,3283
1174,3284
1175,3287
1176,3290
1177,3297
1178,3300
1179,3303
1180,3304
1181,3310
1182,3313
1183,3320
1184,3323
1185,3324
1186,3326
1187,3330
1188,3332
1189,3333
1190,3334
1191,3335
1192,3339
1193,3341
1194,3342
1195,3343
1196,3344
1197,3346
1198,3348
1199,3349
1200,3350
1201,3351
1202,3352
1203,3354
1204,3356
1205,3358
1206,3361
1207,3363
1208,3365
1209,3371
1210,3374
1211,3379
1212,3385
1213,3386
1214,3388
1215,3391
1216,3398
1217,3399
1218,3401
1219,3402
1220,3406
1221,3410
1222,3416
1223,3417
1224,3422
1225,3423
1226,3425
1227,3428
1228,3429
1229,3430
1230,3431
1231,3432
1232,3434
1233,3436
1234,3439
1235,3441
1236,3443
1237,3446
1238,3447
1239,3454
1240,3455
1241,3456
1242,3457
1243,3460
1244,3462
1245,3463
1246,3476
1247,3479
1248,3483
1249,3484
1250,3487
1251,3489
1252,3491
1253,3493
1254,3495
1255,3500
1256,3504
1257,3508
1258,3513
1259,3516
1260,3518
1261,3523
1262,3529
1263,3530
1264,3532
1265,3533
1266,3540
1267,3541
1268,3543
1269,3545
1270,3549
1271,3550
1272,3551
1273,3558
1274,3560
1275,3561
1276,3563
1277,3573
1278,3574
1279,3575
1280,3576
1281,3580
1282,3581
1283,3586
1284,3587
1285,3592
1286,3599
1287,3600
1288,3609
1289,3614
1290,3618
1291,3620
1292,3622
1293,3623
1294,3627
1295,3628
1296,3633
1297,3634
1298,3636
1299,3638
1300,3639
1301,3644
1302,3645
1303,3655
1304,3663
1305,3667
1306,3669
1307,3671
1308,3682
1309,3684
1310,3697
1311,3698
1312,3700
1313,3702
1314,3704
1315,3707
1316,3709
1317,3711
1318,3717
1319,3718
1320,3722
1321,3723
1322,3725
1323,3737
1324,3742
1325,3748
1326,3751
1327,3763
1328,3764
1329,3770
1330,3783
1331,3786
1332,3789
1333,3790
1334,3793
1335,3794
1336,3795
1337,3797
1338,3805
1339,3809
1340,3810
1341,3812
1342,3813
1343,3814
1344,3817
1345,3819
1346,3821
1347,3828
1348,3830
1349,3835
1350,3838
1351,3840
1352,3841
1353,3842
1354,3848
1355,3849
1356,3850
1357,3858
1358,3863
1359,3864
1360,3865
1361,3868
1362,3869
1363,3873
1364,3877
1365,3878
1366,3880
1367,3886
1368,3889
1369,3892
1370,3895
1371,3900
1372,3901
1373,3907
1374,3912
1375,3913
1376,3914
1377,3916
1378,3924
1379,3925
1380,3931
1381,3937
1382,3941
1383,3944
1384,3946
1385,3948
1386,3951
1387,3953
1388,3955
1389,3956
1390,3963
1391,3970
1392,3972
1393,3981
1394,3988
1395,3993
1396,3996
1397,3998
1398,4006
1399,4011
