,0
682,1146
683,1149
684,1151
685,1152
686,9344
687,17540
688,17543
689,1160
690,17545
691,17547
692,1164
693,9355
694,17549
695,9359
696,17552
697,1168
698,1174
699,17559
700,9366
701,9372
702,17565
703,17566
704,1183
705,17567
706,17568
707,17572
708,9381
709,9383
710,9389
711,1199
712,9391
713,1201
714,9393
715,1204
716,9397
717,17589
718,1211
719,9403
720,1213
721,1214
722,9407
723,1212
724,9410
725,17606
726,17609
727,1227
728,17614
729,17619
730,1236
731,17621
732,17622
733,17623
734,1241
735,17626
736,9436
737,1246
738,1247
739,17632
740,17631
741,17634
742,9439
743,9442
744,1255
745,9451
746,17647
747,1270
748,17656
749,1274
750,1281
751,1283
752,9476
753,1285
754,17670
755,9477
756,1287
757,17667
758,17674
759,1290
760,17684
761,17686
762,1304
763,1306
764,17691
765,17690
766,9501
767,9503
768,1314
769,1316
770,17705
771,9513
772,17708
773,9519
774,9520
775,1329
776,1333
777,1334
778,17719
779,17721
780,9529
781,1342
782,1343
783,9538
784,17732
785,1348
786,9542
787,1353
788,1354
789,17738
790,1356
791,9549
792,9552
793,1362
794,9555
795,17749
796,1367
797,17754
798,1371
799,9566
800,17761
801,9569
802,1377
803,17765
804,1383
805,17768
806,17769
807,17770
808,17773
809,1392
810,17779
811,9589
812,1397
813,9591
814,9592
815,1401
816,1406
817,1407
818,17790
819,17793
820,1412
821,9606
822,1414
823,9609
824,1421
825,17806
826,9616
827,17809
828,9619
829,1428
830,17813
831,9625
832,17819
833,1437
834,1438
835,9630
836,1442
837,9634
838,17828
839,17830
840,1446
841,9644
842,17837
843,1454
844,17839
845,9648
846,9649
847,17842
848,9645
849,1462
850,1463
851,9657
852,17850
853,17851
854,1466
855,9660
856,9662
857,17853
858,9659
859,17857
860,1467
861,17855
862,17860
863,9669
864,9663
865,1479
866,1480
867,9674
868,9679
869,9680
870,9681
871,1490
872,17876
873,9684
874,1494
875,17878
876,1496
877,9690
878,17883
879,1498
880,1502
881,9695
882,1504
883,9699
884,17893
885,1512
886,9704
887,1514
888,17900
889,17905
890,9717
891,17910
892,1527
893,1531
894,17916
895,1534
896,9728
897,9730
898,1538
899,17926
900,17930
901,1546
902,9741
903,1550
904,1551
905,9746
906,1555
907,17940
908,17941
909,1557
910,1559
911,1560
912,1562
913,9755
914,9759
915,1569
916,9762
917,17956
918,17958
919,17959
920,9775
921,9776
922,17970
923,9783
924,9784
925,1594
926,1595
927,17980
928,1599
929,9793
930,9794
931,9795
932,9798
933,17993
934,1610
935,9803
936,17996
937,17995
938,1615
939,1616
940,18003
941,9812
942,9818
943,1626
944,9820
945,18012
946,1629
947,1632
948,1633
949,1637
950,1638
951,1639
952,1640
953,9833
954,9834
955,1643
956,18028
957,18031
958,1648
959,18033
960,9841
961,9843
962,18035
963,1653
964,1649
965,9848
966,1657
967,1658
968,18044
969,1661
970,18046
971,1663
972,18047
973,1665
974,9863
975,9864
976,1674
977,9868
978,18068
979,1685
980,9879
981,1687
982,18073
983,9884
984,18080
985,9892
986,1701
987,9893
988,18087
989,1700
990,9898
991,9899
992,9900
993,1706
994,1709
995,18096
996,18098
997,1715
998,1716
999,9909
1000,18104
1001,9915
1002,9916
1003,1725
1004,1727
1005,9923
1006,1732
1007,9924
1008,18118
1009,1734
1010,18120
1011,9929
1012,9930
1013,18123
1014,9931
1015,9928
1016,9932
1017,9935
1018,18129
1019,18131
1020,18134
1021,18148
1022,1764
1023,9960
1024,1768
1025,18155
1026,18156
1027,9966
1028,9967
1029,18160
1030,18163
1031,1779
1032,18166
1033,1784
1034,18171
1035,1787
1036,18173
1037,1791
1038,9983
1039,9985
1040,9986
1041,1795
1042,18181
1043,1798
1044,1799
1045,18183
1046,1801
1047,9995
1048,1804
1049,18192
1050,1810
1051,10004
1052,10006
1053,10007
1054,1819
1055,18203
1056,1824
1057,18208
1058,18210
1059,1826
1060,1828
1061,10017
1062,10023
1063,1832
1064,18218
1065,18220
1066,18221
1067,1840
1068,1841
1069,18226
1070,18229
1071,10037
1072,1845
1073,10040
1074,1851
1075,1853
1076,18241
1077,18244
1078,1861
1079,18247
1080,1863
1081,18248
1082,10058
1083,10057
1084,1868
1085,10062
1086,1870
1087,1872
1088,18257
1089,10066
1090,10067
1091,10068
1092,10069
1093,1878
1094,1879
1095,18263
1096,18265
1097,1885
1098,18274
1099,1893
1100,18281
1101,1903
1102,1904
1103,18289
1104,1906
1105,10097
1106,1908
1107,1911
1108,1912
1109,18297
1110,18300
1111,18301
1112,10111
1113,1922
1114,18306
1115,18310
1116,10119
1117,10120
1118,10122
1119,18315
1120,18318
1121,18322
1122,10130
1123,18324
1124,1941
1125,1939
1126,1943
1127,18328
1128,10139
1129,18332
1130,18331
1131,1950
1132,18337
1133,18339
1134,1955
1135,10147
1136,10148
1137,1959
1138,18342
1139,1961
1140,18347
1141,10158
1142,10160
1143,1971
1144,18357
1145,1980
1146,1981
1147,1982
1148,10175
1149,18364
1150,10177
1151,18370
1152,1988
1153,10185
1154,18379
1155,18381
1156,18382
1157,18383
1158,1998
1159,2001
1160,18389
1161,2005
1162,10200
1163,2010
1164,2011
1165,18395
1166,18397
1167,2012
1168,10208
1169,18402
1170,18403
1171,10213
1172,18409
1173,2025
1174,10219
1175,2028
1176,2029
1177,10222
1178,10223
1179,2035
1180,18420
1181,2036
1182,18422
1183,18423
1184,18424
1185,2044
1186,18429
1187,18430
1188,18431
1189,2047
1190,2049
1191,2050
1192,10242
1193,10244
1194,18436
1195,18438
1196,10250
1197,10256
1198,10257
1199,18450
1200,2071
1201,18457
1202,2073
1203,18459
1204,18460
1205,18461
1206,2078
1207,18463
1208,2077
1209,18467
1210,10276
1211,2085
1212,18469
1213,18472
1214,10282
1215,10284
1216,2093
1217,18478
1218,2095
1219,2096
1220,2097
1221,10290
1222,2099
1223,2100
1224,2101
1225,10291
1226,18485
1227,18488
1228,18487
1229,2107
1230,10300
1231,2109
1232,10304
1233,18497
1234,10306
1235,10305
1236,10309
1237,2118
1238,10310
1239,2120
1240,18506
1241,18509
1242,2126
1243,10319
1244,18513
1245,2131
1246,2140
1247,2143
1248,18528
1249,18529
1250,2145
1251,10341
1252,10342
1253,10343
1254,10344
1255,2153
1256,18541
1257,2161
1258,10355
1259,18548
1260,2166
1261,18553
1262,2172
1263,2173
1264,18558
1265,2178
1266,10373
1267,2183
1268,10377
1269,2189
1270,18574
1271,18573
1272,18576
1273,18580
1274,18583
1275,10392
1276,18586
1277,18590
1278,10399
1279,10401
1280,18594
1281,10404
1282,10405
1283,18597
1284,18596
1285,10408
1286,10409
1287,2218
1288,18603
1289,18599
1290,18602
1291,2222
1292,10414
1293,18604
1294,2226
1295,10418
1296,2228
1297,18621
1298,10429
1299,18623
1300,2239
1301,18629
1302,10442
1303,10444
1304,18636
1305,18638
1306,2254
1307,2256
1308,10449
1309,10457
1310,2266
1311,18652
1312,2269
1313,18655
1314,18659
1315,18660
1316,10468
1317,18662
1318,2277
1319,18664
1320,10474
1321,10476
1322,18668
1323,18670
1324,10479
1325,18671
1326,18679
1327,10488
1328,10489
1329,2297
1330,2295
1331,10492
1332,2301
1333,10498
1334,10502
1335,10503
1336,10504
1337,18695
1338,18700
1339,10509
1340,18701
1341,10511
1342,2322
1343,18708
1344,10521
1345,10524
1346,18718
1347,2335
1348,2336
1349,10531
1350,2342
1351,10534
1352,10536
1353,18729
1354,2346
1355,10539
1356,10535
1357,10541
1358,18734
1359,10545
1360,10547
1361,2356
1362,18740
1363,18742
1364,2358
1365,10552
1366,18744
1367,10554
1368,18749
1369,2366
1370,18750
1371,18753
1372,18754
1373,2369
1374,2371
1375,18757
1376,2373
1377,10561
1378,10562
1379,10569
1380,10565
1381,10571
1382,18766
1383,2383
1384,10577
1385,2389
1386,18774
1387,18773
1388,18778
1389,2398
1390,2399
1391,10592
1392,2401
1393,10594
1394,2400
1395,18785
1396,2405
1397,10597
1398,18787
1399,10606
1400,10607
1401,18801
1402,10612
1403,2421
1404,2422
1405,18806
1406,18808
1407,10619
1408,2427
1409,18812
1410,2428
1411,18819
1412,18821
1413,2439
1414,18824
1415,10633
1416,2440
1417,2442
1418,10636
1419,2447
1420,2448
1421,18834
1422,18835
1423,18838
1424,2454
1425,2456
1426,18840
1427,2464
1428,18849
1429,2467
1430,18852
1431,2468
1432,10660
1433,18855
1434,2471
1435,2473
1436,10668
1437,10670
1438,18862
1439,2480
1440,18865
1441,10672
1442,2481
1443,10676
1444,2487
1445,10680
1446,2493
1447,10686
1448,2495
1449,18877
1450,18883
1451,10694
1452,18887
1453,2506
1454,2511
1455,18897
1456,18898
1457,10708
1458,18900
1459,18902
1460,10712
1461,2521
1462,2523
1463,2527
1464,10719
1465,18915
1466,10724
1467,18917
1468,2534
1469,18918
1470,10728
1471,2538
1472,18923
1473,2540
1474,18925
1475,18926
1476,18927
1477,2547
1478,10739
1479,18933
1480,2550
1481,18935
1482,2552
1483,10745
1484,18938
1485,10748
1486,2556
1487,2558
1488,10749
1489,2560
1490,18940
1491,18947
1492,10756
1493,2565
1494,10757
1495,18949
1496,10762
1497,18955
1498,18956
1499,2573
1500,18958
1501,18954
1502,2570
1503,10769
1504,2582
1505,18966
1506,2583
1507,18970
1508,18971
1509,10779
1510,18973
1511,2590
1512,2588
1513,2592
1514,10785
1515,2593
1516,18978
1517,2596
1518,2597
1519,2598
1520,18983
1521,18985
1522,2602
1523,2603
1524,18988
1525,18989
1526,2607
1527,10800
1528,2610
1529,2611
1530,18996
1531,18994
1532,2616
1533,19001
1534,2619
1535,2621
1536,10813
1537,19007
1538,19009
1539,2625
1540,2631
1541,2632
1542,10827
1543,10828
1544,2638
1545,10831
1546,2646
1547,2648
1548,19035
1549,19036
1550,2652
1551,2654
1552,2655
1553,10846
1554,10847
1555,19042
1556,10853
1557,2662
1558,19050
1559,2667
1560,2668
1561,19053
1562,19054
1563,2669
1564,19056
1565,2674
1566,10866
1567,10868
1568,2683
1569,2687
1570,10880
1571,2694
1572,2697
1573,2701
1574,10895
1575,2706
1576,10902
1577,10911
1578,10913
1579,10916
1580,2727
1581,10922
1582,2731
1583,10928
1584,2745
1585,10939
1586,2750
1587,10943
1588,10944
1589,10945
1590,2754
1591,10957
1592,2767
1593,10962
1594,10963
1595,2770
1596,10965
1597,10966
1598,2777
1599,10971
1600,10972
1601,10974
1602,2783
1603,10975
1604,2788
1605,2797
1606,10989
1607,2799
1608,10994
1609,10996
1610,2818
1611,11024
1612,2833
1613,11033
1614,2845
1615,11038
1616,2850
1617,11047
1618,11049
1619,11055
1620,11056
1621,2871
1622,2872
1623,2873
1624,2875
1625,11070
1626,2879
1627,2880
1628,11072
1629,2884
